ITS2 type profile UID		23937	24018	24019	24991	24017	24973	24021	24944	24022
Clade		A	A	A	A	A	A	A	A	A
Majority ITS2 sequence		A1	A1	A1g/A1	A1	A1	A1/A1cl	A1	A1	A1
Associated species		S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum
ITS2 type abundance local		22	18	15	15	6	3	3	1	1
ITS2 type abundance DB		43	18	40	40	16	4	8	5	8
ITS2 type profile		A1-A1z	A1-A1dv-A1dw-A1dl	A1g/A1-A1l-A1cr-A1o-A1dp-A1p-A1dq-A1dn	A1-A1ds-A1z-A1dr-A1bh	A1-A1dm	A1/A1cl-A1z	A1-A1z-A1do	A1-A1du-A1z-A1ds-A1dr	A1-A1ea
45834	ES1_30A	0.000	0.788	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45835	ES1_33A	0.000	0.809	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45839	ES1_36A	0.000	0.835	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45837	ES2_30A	0.000	0.879	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45838	ES2_33A	0.000	0.870	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45842	ES2_36A	0.000	0.884	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45840	ES3_30A	0.000	0.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45841	ES3_33A	0.000	0.799	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45845	ES3_36A	0.000	0.804	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45843	ES4_30A	0.000	0.000	0.000	0.000	0.000	0.964	0.000	0.000	0.000
45844	ES4_33A	0.000	0.000	0.000	0.000	0.000	0.965	0.000	0.000	0.000
45848	ES4_36A	0.000	0.000	0.000	0.000	0.000	0.967	0.000	0.000	0.000
45846	ES5_30A	0.000	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45847	ES5_33A	0.000	0.856	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45851	ES5_36A	0.000	0.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45849	ES6_30A	0.000	0.873	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45850	ES6_33A	0.000	0.872	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45854	ES6_36A	0.000	0.879	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45852	ES7_30A	0.000	0.840	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45853	ES7_33A	0.000	0.819	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45836	ES7_36A	0.000	0.855	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45855	KS1_30A	0.882	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45856	KS1_33A	0.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45857	KS1_36A	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45858	KS2_30A	0.850	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45859	KS2_33A	0.858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45860	KS2_36A	0.857	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45861	KS3_30A	0.853	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45862	KS3_33A	0.849	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45863	KS3_36A	0.847	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45864	KS4_30A	0.866	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45865	KS4_33A	0.868	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45866	KS4_36A	0.868	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45867	KS5_30A	0.844	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
